timestamp,sensor,value
2026-05-16T10:00:00Z,bed/1,72.70
2026-05-16T10:00:30Z,bed/1,73.00
2026-05-16T10:01:00Z,bed/1,73.27
2026-05-16T10:01:30Z,bed/1,73.52
2026-05-16T10:02:00Z,bed/1,73.73
2026-05-16T10:02:30Z,bed/1,73.89
2026-05-16T10:03:00Z,bed/1,74.00
2026-05-16T10:03:30Z,bed/1,74.04
2026-05-16T10:04:00Z,bed/1,74.02
2026-05-16T10:04:30Z,bed/1,73.94
2026-05-16T10:05:00Z,bed/1,73.79
2026-05-16T10:05:30Z,bed/1,73.59
2026-05-16T10:06:00Z,bed/1,73.34
2026-05-16T10:06:30Z,bed/1,73.04
2026-05-16T10:07:00Z,bed/1,72.71
2026-05-16T10:07:30Z,bed/1,72.36
2026-05-16T10:08:00Z,bed/1,71.99
2026-05-16T10:08:30Z,bed/1,71.63
2026-05-16T10:09:00Z,bed/1,71.29
2026-05-16T10:09:30Z,bed/1,70.97
2026-05-16T10:10:00Z,bed/1,70.69
2026-05-16T10:10:30Z,bed/1,70.46
2026-05-16T10:11:00Z,bed/1,70.28
2026-05-16T10:11:30Z,bed/1,70.16
2026-05-16T10:12:00Z,bed/1,70.10
2026-05-16T10:12:30Z,bed/1,70.11
2026-05-16T10:13:00Z,bed/1,70.18
2026-05-16T10:13:30Z,bed/1,70.30
2026-05-16T10:14:00Z,bed/1,70.47
2026-05-16T10:14:30Z,bed/1,70.69
2026-05-16T10:15:00Z,bed/1,70.94
2026-05-16T10:15:30Z,bed/1,71.21
2026-05-16T10:16:00Z,bed/1,71.49
2026-05-16T10:16:30Z,bed/1,71.77
2026-05-16T10:17:00Z,bed/1,72.04
2026-05-16T10:17:30Z,bed/1,72.29
2026-05-16T10:18:00Z,bed/1,72.50
2026-05-16T10:18:30Z,bed/1,72.67
2026-05-16T10:19:00Z,bed/1,72.79
2026-05-16T10:19:30Z,bed/1,72.85
2026-05-16T10:20:00Z,bed/1,72.87
2026-05-16T10:20:30Z,bed/1,72.83
2026-05-16T10:21:00Z,bed/1,72.74
2026-05-16T10:21:30Z,bed/1,72.60
2026-05-16T10:22:00Z,bed/1,72.42
2026-05-16T10:22:30Z,bed/1,72.21
2026-05-16T10:23:00Z,bed/1,71.98
2026-05-16T10:23:30Z,bed/1,71.74
